date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:41	2565/2565	---M-Z	200	added ('OK')	text/html	etag:%2280f58e4e310d41:0%22	http://vietlott.vn/robots.txt		(from )
15:12:41	54698/54698	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:40%20GMT	http://vietlott.vn/	D:/private/webclone/vietlott/vietlott.vn/index.html	(from )
15:12:41	54750/54750	---M--	200	added ('OK')	text/html	date:Mon,%2016%20Jul%202018%2008:12:40%20GMT	http://vietlott.vn/vi/home	D:/private/webclone/vietlott/vietlott.vn/vi/home.html	(from http://vietlott.vn/)
15:12:43	2568/2568	---M--	200	added ('OK')	image/x-icon	etag:%22871162e46e4d31:0%22	http://vietlott.vn/favicon.ico	D:/private/webclone/vietlott/vietlott.vn/favicon.ico	(from http://vietlott.vn/)
15:12:44	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%220f4d9252e6d11:0%22	http://vietlott.vn/css/bootstrap.min.css	D:/private/webclone/vietlott/vietlott.vn/css/bootstrap.min.css	(from http://vietlott.vn/)
15:12:46	23409/23409	---M-Z	200	added ('OK')	text/css	etag:%220f4d9252e6d11:0%22	http://vietlott.vn/css/bootstrap-theme.min.css	D:/private/webclone/vietlott/vietlott.vn/css/bootstrap-theme.min.css	(from http://vietlott.vn/)
15:12:46	87705/87705	---M-Z	200	added ('OK')	text/css	etag:%2280af238fb81bd41:0%22	http://vietlott.vn/EX.css	D:/private/webclone/vietlott/vietlott.vn/EX.css	(from http://vietlott.vn/)
15:12:46	3043/3043	---M-Z	200	added ('OK')	application/javascript	etag:%22807e13d76bcd41:0%22	http://vietlott.vn/EX.js	D:/private/webclone/vietlott/vietlott.vn/EX.js	(from http://vietlott.vn/)
15:12:47	63960/63960	---M--	200	added ('OK')	image/jpeg	etag:%22eea77e164f10d41:0%22	http://vietlott.vn/Content/images/logo-vietlott-300x300.jpg	D:/private/webclone/vietlott/vietlott.vn/Content/images/logo-vietlott-300x300.jpg	(from http://vietlott.vn/)
15:12:47	5339/5339	---M-Z	200	added ('OK')	application/javascript	etag:%228063c4b8401d41:0%22	http://vietlott.vn/js/jquery.countdown.min.js	D:/private/webclone/vietlott/vietlott.vn/js/jquery.countdown.min.js	(from http://vietlott.vn/)
15:12:48	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%22021b452e6d11:0%22	http://vietlott.vn/js/bootstrap.min.js	D:/private/webclone/vietlott/vietlott.vn/js/bootstrap.min.js	(from http://vietlott.vn/)
15:12:49	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%2208df1f2338d31:0%22	http://vietlott.vn/js/jquery-3.2.1.min.js	D:/private/webclone/vietlott/vietlott.vn/js/jquery-3.2.1.min.js	(from http://vietlott.vn/)
15:12:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2200623fa3b0d11:0%22	http://vietlott.vn/images/home/favicon.ico	D:/private/webclone/vietlott/vietlott.vn/images/home/favicon.ico	(from http://vietlott.vn/)
15:12:49	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	D:/private/webclone/vietlott/use.fontawesome.com/releases/v5.0.13/css/all.css	(from http://vietlott.vn/)
15:12:49	3766/3766	---M--	200	added ('OK')	application/x-javascript	etag:C18462A35A7AF69A3EEA94F84B7D6A46	http://vietlott.vn/ajaxpro/prototype.ashx	D:/private/webclone/vietlott/vietlott.vn/ajaxpro/prototype.js	(from http://vietlott.vn/)
